ID,row_id,alt,time,cost,access,service,female,business,income,choice_id,avail,choice_num,choice
1,1,car,0,0,0,0,0,0,46705,1,0,4,0
1,1,bus,0,0,0,0,0,0,46705,1,0,4,0
1,1,air,50,80,55,0,0,0,46705,1,1,4,0
1,1,rail,140,55,5,0,0,0,46705,1,1,4,1
1,2,car,0,0,0,0,0,0,46705,2,0,4,0
1,2,bus,0,0,0,0,0,0,46705,2,0,4,0
1,2,air,70,80,45,0,0,0,46705,2,1,4,0
1,2,rail,170,45,20,0,0,0,46705,2,1,4,1
1,3,car,0,0,0,0,0,0,46705,3,0,4,0
1,3,bus,0,0,0,0,0,0,46705,3,0,4,0
1,3,air,50,50,55,3,0,0,46705,3,1,4,0
1,3,rail,170,35,5,2,0,0,46705,3,1,4,1
1,4,car,0,0,0,0,0,0,46705,4,0,4,0
1,4,bus,0,0,0,0,0,0,46705,4,0,4,0
1,4,air,90,65,45,1,0,0,46705,4,1,4,0
1,4,rail,120,75,5,3,0,0,46705,4,1,4,1
1,5,car,0,0,0,0,0,0,46705,5,0,4,0
1,5,bus,0,0,0,0,0,0,46705,5,0,4,0
1,5,air,70,110,40,1,0,0,46705,5,1,4,0
1,5,rail,155,75,25,2,0,0,46705,5,1,4,1
1,6,car,0,0,0,0,0,0,46705,6,0,4,0
1,6,bus,0,0,0,0,0,0,46705,6,0,4,0
1,6,air,90,80,40,1,0,0,46705,6,1,4,0
1,6,rail,170,35,25,2,0,0,46705,6,1,4,1
1,7,car,0,0,0,0,0,0,46705,7,0,3,0
1,7,bus,0,0,0,0,0,0,46705,7,0,3,0
1,7,air,90,80,35,2,0,0,46705,7,1,3,1
1,7,rail,130,75,25,2,0,0,46705,7,1,3,0
1,8,car,0,0,0,0,0,0,46705,8,0,4,0
1,8,bus,0,0,0,0,0,0,46705,8,0,4,0
1,8,air,50,95,45,3,0,0,46705,8,1,4,0
1,8,rail,170,35,10,2,0,0,46705,8,1,4,1
1,9,car,0,0,0,0,0,0,46705,9,0,4,0
1,9,bus,0,0,0,0,0,0,46705,9,0,4,0
1,9,air,60,110,40,2,0,0,46705,9,1,4,0
1,9,rail,120,75,15,3,0,0,46705,9,1,4,1
1,10,car,0,0,0,0,0,0,46705,10,0,4,0
1,10,bus,0,0,0,0,0,0,46705,10,0,4,0
1,10,air,50,95,55,3,0,0,46705,10,1,4,0
1,10,rail,140,55,10,1,0,0,46705,10,1,4,1
1,11,car,0,0,0,0,0,0,46705,11,0,4,0
1,11,bus,0,0,0,0,0,0,46705,11,0,4,0
1,11,air,70,110,40,1,0,0,46705,11,1,4,0
1,11,rail,140,45,25,3,0,0,46705,11,1,4,1
1,12,car,0,0,0,0,0,0,46705,12,0,4,0
1,12,bus,0,0,0,0,0,0,46705,12,0,4,0
1,12,air,80,65,55,3,0,0,46705,12,1,4,0
1,12,rail,120,35,5,1,0,0,46705,12,1,4,1
1,13,car,0,0,0,0,0,0,46705,13,0,4,0
1,13,bus,0,0,0,0,0,0,46705,13,0,4,0
1,13,air,60,80,55,1,0,0,46705,13,1,4,0
1,13,rail,130,75,15,3,0,0,46705,13,1,4,1
1,14,car,0,0,0,0,0,0,46705,14,0,4,0
1,14,bus,0,0,0,0,0,0,46705,14,0,4,0
1,14,air,70,110,35,2,0,0,46705,14,1,4,0
1,14,rail,170,35,25,3,0,0,46705,14,1,4,1
1,15,car,0,0,0,0,0,0,46705,15,0,4,0
1,15,bus,0,0,0,0,0,0,46705,15,0,4,0
1,15,air,90,65,45,1,0,0,46705,15,1,4,0
1,15,rail,140,65,15,2,0,0,46705,15,1,4,1
1,16,car,0,0,0,0,0,0,46705,16,0,4,0
1,16,bus,0,0,0,0,0,0,46705,16,0,4,0
1,16,air,80,50,50,1,0,0,46705,16,1,4,0
1,16,rail,140,55,10,3,0,0,46705,16,1,4,1
2,17,car,345,40,0,0,1,0,50123,17,1,2,0
2,17,bus,345,30,15,0,1,0,50123,17,1,2,1
2,17,air,0,0,0,0,1,0,50123,17,0,2,0
2,17,rail,130,55,20,0,1,0,50123,17,1,2,0
2,18,car,345,45,0,0,1,0,50123,18,1,2,0
2,18,bus,345,25,20,0,1,0,50123,18,1,2,1
2,18,air,0,0,0,0,1,0,50123,18,0,2,0
2,18,rail,130,45,10,0,1,0,50123,18,1,2,0
2,19,car,300,40,0,0,1,0,50123,19,1,4,0
2,19,bus,330,25,15,0,1,0,50123,19,1,4,0
2,19,air,0,0,0,0,1,0,50123,19,0,4,0
2,19,rail,170,35,25,2,1,0,50123,19,1,4,1
2,20,car,390,35,0,0,1,0,50123,20,1,4,0
2,20,bus,390,35,5,0,1,0,50123,20,1,4,0
2,20,air,0,0,0,0,1,0,50123,20,0,4,0
2,20,rail,140,45,20,1,1,0,50123,20,1,4,1
2,21,car,345,35,0,0,1,0,50123,21,1,4,0
2,21,bus,390,20,25,0,1,0,50123,21,1,4,0
2,21,air,0,0,0,0,1,0,50123,21,0,4,0
2,21,rail,130,65,5,2,1,0,50123,21,1,4,1
2,22,car,275,40,0,0,1,0,50123,22,1,4,0
2,22,bus,360,25,25,0,1,0,50123,22,1,4,0
2,22,air,0,0,0,0,1,0,50123,22,0,4,0
2,22,rail,140,55,20,1,1,0,50123,22,1,4,1
2,23,car,275,45,0,0,1,0,50123,23,1,1,1
2,23,bus,420,20,15,0,1,0,50123,23,1,1,0
2,23,air,0,0,0,0,1,0,50123,23,0,1,0
2,23,rail,130,35,15,3,1,0,50123,23,1,1,0
2,24,car,250,50,0,0,1,0,50123,24,1,1,1
2,24,bus,420,20,20,0,1,0,50123,24,1,1,0
2,24,air,0,0,0,0,1,0,50123,24,0,1,0
2,24,rail,140,55,25,1,1,0,50123,24,1,1,0
2,25,car,390,30,0,0,1,0,50123,25,1,1,1
2,25,bus,420,20,20,0,1,0,50123,25,1,1,0
2,25,air,0,0,0,0,1,0,50123,25,0,1,0
2,25,rail,130,75,10,2,1,0,50123,25,1,1,0
2,26,car,250,35,0,0,1,0,50123,26,1,4,0
2,26,bus,420,20,15,0,1,0,50123,26,1,4,0
2,26,air,0,0,0,0,1,0,50123,26,0,4,0
2,26,rail,155,55,20,2,1,0,50123,26,1,4,1
2,27,car,300,35,0,0,1,0,50123,27,1,4,0
2,27,bus,300,30,20,0,1,0,50123,27,1,4,0
2,27,air,0,0,0,0,1,0,50123,27,0,4,0
2,27,rail,140,45,20,2,1,0,50123,27,1,4,1
2,28,car,390,30,0,0,1,0,50123,28,1,2,0
2,28,bus,390,20,10,0,1,0,50123,28,1,2,1
2,28,air,0,0,0,0,1,0,50123,28,0,2,0
2,28,rail,130,75,10,1,1,0,50123,28,1,2,0
2,29,car,390,35,0,0,1,0,50123,29,1,1,1
2,29,bus,390,15,5,0,1,0,50123,29,1,1,0
2,29,air,0,0,0,0,1,0,50123,29,0,1,0
2,29,rail,140,75,20,1,1,0,50123,29,1,1,0
2,30,car,275,50,0,0,1,0,50123,30,1,4,0
2,30,bus,360,15,5,0,1,0,50123,30,1,4,0
2,30,air,0,0,0,0,1,0,50123,30,0,4,0
2,30,rail,155,35,20,1,1,0,50123,30,1,4,1
2,31,car,300,40,0,0,1,0,50123,31,1,1,1
2,31,bus,390,20,20,0,1,0,50123,31,1,1,0
2,31,air,0,0,0,0,1,0,50123,31,0,1,0
2,31,rail,170,45,5,1,1,0,50123,31,1,1,0
2,32,car,275,50,0,0,1,0,50123,32,1,1,1
2,32,bus,420,15,5,0,1,0,50123,32,1,1,0
2,32,air,0,0,0,0,1,0,50123,32,0,1,0
2,32,rail,120,75,5,3,1,0,50123,32,1,1,0
3,33,car,0,0,0,0,1,0,67589,33,0,4,0
3,33,bus,0,0,0,0,1,0,67589,33,0,4,0
3,33,air,90,65,40,0,1,0,67589,33,1,4,0
3,33,rail,130,35,20,0,1,0,67589,33,1,4,1
3,34,car,0,0,0,0,1,0,67589,34,0,4,0
3,34,bus,0,0,0,0,1,0,67589,34,0,4,0
3,34,air,60,110,40,0,1,0,67589,34,1,4,0
3,34,rail,170,35,15,0,1,0,67589,34,1,4,1
3,35,car,0,0,0,0,1,0,67589,35,0,3,0
3,35,bus,0,0,0,0,1,0,67589,35,0,3,0
3,35,air,90,50,40,2,1,0,67589,35,1,3,1
3,35,rail,140,65,20,3,1,0,67589,35,1,3,0
3,36,car,0,0,0,0,1,0,67589,36,0,4,0
3,36,bus,0,0,0,0,1,0,67589,36,0,4,0
3,36,air,60,50,55,2,1,0,67589,36,1,4,0
3,36,rail,140,55,5,3,1,0,67589,36,1,4,1
3,37,car,0,0,0,0,1,0,67589,37,0,4,0
3,37,bus,0,0,0,0,1,0,67589,37,0,4,0
3,37,air,90,65,35,2,1,0,67589,37,1,4,0
3,37,rail,130,55,20,3,1,0,67589,37,1,4,1
3,38,car,0,0,0,0,1,0,67589,38,0,3,0
3,38,bus,0,0,0,0,1,0,67589,38,0,3,0
3,38,air,90,50,35,1,1,0,67589,38,1,3,1
3,38,rail,140,55,25,3,1,0,67589,38,1,3,0
